iter	Passed	Remaining
859	9267	11228
860	9283	11224
861	9291	11209
862	9302	11200
863	9313	11189
864	9322	11176
865	9338	11171
866	9347	11159
867	9355	11145
868	9363	11130
869	9370	11115
870	9381	11105
871	9390	11091
872	9397	11076
873	9404	11061
874	9411	11046
875	9419	11032
876	9426	11017
877	9433	11002
878	9456	11006
879	9466	10994
880	9478	10984
881	9490	10974
882	9498	10961
883	9506	10947
884	9512	10930
885	9519	10915
886	9526	10901
887	9534	10887
888	9541	10872
889	9548	10857
890	9556	10843
891	9562	10827
892	9568	10811
893	9575	10797
894	9582	10781
895	9591	10769
896	9606	10762
897	9618	10753
898	9630	10744
899	9640	10732
900	9645	10716
901	9651	10699
902	9658	10685
903	9664	10669
904	9673	10656
905	9681	10642
906	9687	10627
907	9696	10614
908	9700	10597
909	9709	10584
910	9716	10569
911	9722	10553
912	9729	10539
913	9737	10525
914	9752	10519
915	9763	10509
916	9775	10500
917	9784	10488
918	9792	10474
919	9801	10461
920	9807	10446
921	9815	10432
922	9822	10417
923	9828	10403
924	9848	10402
925	9860	10393
926	9868	10379
927	9875	10364
928	9882	10350
929	9886	10333
930	9912	10337
931	9935	10340
932	9948	10332
933	9960	10322
934	9969	10310
935	9977	10296
936	9987	10285
937	10020	10298
938	10029	10285
939	10039	10274
940	10049	10262
941	10062	10254
942	10067	10238
943	10091	10241
944	10118	10246
945	10127	10234
946	10136	10221
947	10144	10208
948	10150	10193
949	10156	10177
950	10162	10162
951	10169	10148
952	10176	10133
953	10182	10118
954	10187	10102
955	10217	10110
956	10232	10103
957	10242	10092
958	10254	10083
959	10289	10096
960	10299	10084
961	10307	10072
962	10315	10058
963	10323	10045
964	10336	10036
965	10346	10024
966	10356	10013
967	10362	9998
968	10371	9985
969	10379	9972
970	10394	9966
971	10407	9958
972	10419	9948
973	10431	9938
974	10439	9925
975	10447	9912
976	10454	9897
977	10461	9884
978	10469	9870
979	10483	9862
980	10494	9852
981	10503	9840
982	10511	9826
983	10519	9813
984	10527	9800
985	10534	9786
986	10550	9780
987	10563	9772
988	10571	9758
989	10582	9748
990	10590	9736
991	10596	9720
992	10605	9708
993	10612	9693
994	10622	9683
995	10630	9669
996	10638	9657
997	10648	9645
998	10649	9625
999	10655	9611
1000	10661	9595
1001	10668	9582
1002	10673	9567
1003	10681	9553
1004	10688	9539
1005	10695	9526
1006	10701	9511
1007	10715	9503
1008	10729	9495
1009	10743	9488
1010	10753	9477
1011	10765	9467
1012	10775	9456
1013	10782	9442
1014	10788	9427
1015	10797	9415
1016	10807	9404
1017	10815	9391
1018	10821	9377
1019	10838	9371
1020	10845	9358
1021	10855	9347
1022	10873	9342
1023	10897	9343
1024	10911	9336
1025	10924	9327
1026	10947	9327
1027	10954	9313
1028	10960	9299
1029	10971	9288
1030	10978	9274
1031	10985	9260
1032	10992	9247
1033	11001	9235
1034	11007	9220
1035	11022	9213
1036	11034	9203
1037	11045	9193
1038	11059	9185
1039	11069	9174
1040	11079	9163
1041	11086	9149
1042	11094	9136
1043	11100	9122
1044	11105	9107
1045	11112	9093
1046	11120	9081
1047	11126	9067
1048	11134	9054
1049	11139	9039
1050	11147	9026
1051	11152	9011
1052	11159	8997
1053	11165	8983
1054	11177	8974
1055	11190	8964
1056	11204	8957
1057	11217	8948
1058	11226	8936
1059	11231	8921
1060	11239	8909
1061	11247	8896
1062	11257	8885
1063	11265	8872
1064	11272	8859
1065	11282	8848
1066	11291	8836
1067	11302	8825
1068	11308	8812
1069	11317	8800
1070	11326	8788
1071	11338	8778
1072	11349	8768
1073	11364	8761
1074	11376	8752
1075	11387	8741
1076	11394	8728
1077	11401	8715
1078	11409	8702
1079	11416	8688
1080	11423	8675
1081	11429	8662
1082	11437	8649
1083	11443	8635
1084	11451	8622
1085	11456	8608
1086	11488	8613
1087	11504	8607
1088	11519	8599
1089	11533	8591
1090	11542	8580
1091	11547	8565
1092	11555	8553
1093	11562	8539
1094	11570	8527
1095	11577	8514
1096	11585	8501
1097	11590	8487
1098	11599	8475
1099	11610	8464
1100	11620	8454
1101	11628	8442
1102	11637	8429
1103	11647	8418
1104	11664	8413
1105	11680	8406
1106	11691	8396
1107	11700	8384
1108	11708	8371
1109	11715	8359
1110	11724	8347
1111	11729	8333
1112	11733	8317
1113	11743	8306
1114	11752	8295
1115	11761	8283
1116	11771	8272
1117	11779	8260
1118	11785	8246
1119	11794	8234
1120	11803	8223
1121	11821	8217
1122	11837	8211
1123	11853	8204
1124	11870	8198
1125	11881	8188
1126	11893	8179
1127	11907	8170
1128	11919	8161
1129	11928	8149
1130	11936	8136
1131	11942	8123
1132	11948	8109
1133	11964	8102
1134	11970	8089
1135	11977	8076
1136	11984	8063
1137	11993	8051
1138	12000	8039
1139	12007	8026
1140	12016	8014
1141	12021	8000
1142	12030	7988
1143	12037	7975
1144	12052	7968
1145	12066	7960
1146	12073	7947
1147	12081	7935
1148	12087	7921
1149	12095	7909
1150	12101	7895
1151	12107	7882
1152	12113	7869
1153	12121	7856
1154	12133	7847
1155	12139	7834
1156	12147	7821
1157	12154	7808
1158	12163	7797
1159	12174	7787
1160	12186	7778
1161	12198	7768
1162	12212	7760
1163	12232	7755
1164	12251	7750
1165	12268	7744
1166	12279	7733
1167	12287	7721
1168	12303	7714
1169	12313	7703
1170	12322	7692
1171	12327	7678
1172	12341	7670
1173	12355	7661
1174	12369	7653
1175	12383	7644
1176	12391	7632
1177	12400	7621
1178	12407	7608
1179	12414	7595
1180	12421	7583
1181	12428	7570
1182	12438	7559
1183	12447	7548
1184	12463	7540
1185	12470	7528
1186	12478	7516
1187	12484	7503
1188	12496	7493
1189	12507	7483
1190	12526	7477
1191	12540	7469
1192	12549	7458
1193	12557	7445
1194	12563	7432
1195	12570	7420
1196	12576	7407
1197	12591	7399
1198	12602	7389
1199	12611	7377
1200	12618	7365
1201	12626	7353
1202	12635	7341
1203	12643	7329
1204	12653	7319
1205	12667	7310
1206	12682	7302
1207	12696	7293
1208	12704	7282
1209	12716	7272
1210	12736	7267
1211	12746	7256
1212	12752	7243
1213	12771	7238
1214	12803	7239
1215	12818	7231
1216	12834	7224
1217	12841	7211
1218	12852	7201
1219	12864	7191
1220	12874	7180
1221	12879	7167
1222	12887	7155
1223	12909	7150
1224	12920	7140
1225	12928	7128
1226	12935	7115
1227	12942	7103
1228	12949	7091
1229	12956	7078
1230	12964	7066
1231	12979	7058
1232	13001	7054
1233	13027	7052
1234	13036	7040
1235	13046	7029
1236	13052	7017
1237	13059	7004
1238	13066	6992
1239	13083	6984
1240	13090	6972
1241	13098	6960
1242	13104	6947
1243	13111	6935
1244	13118	6922
1245	13130	6913
1246	13146	6905
1247	13158	6895
1248	13174	6887
1249	13184	6876
1250	13191	6864
1251	13198	6852
1252	13206	6840
1253	13211	6826
1254	13225	6818
1255	13234	6806
1256	13243	6795
1257	13250	6783
1258	13258	6771
1259	13262	6757
1260	13273	6747
1261	13283	6736
1262	13311	6734
1263	13327	6726
1264	13338	6716
1265	13345	6704
1266	13352	6692
1267	13360	6680
1268	13367	6667
1269	13386	6661
1270	13395	6650
1271	13408	6641
1272	13427	6634
1273	13440	6625
1274	13454	6616
1275	13470	6608
1276	13494	6604
1277	13503	6593
1278	13511	6581
1279	13520	6569
1280	13525	6556
1281	13534	6545
1282	13545	6535
1283	13554	6523
1284	13562	6512
1285	13569	6499
1286	13576	6487
1287	13584	6475
1288	13591	6463
1289	13600	6452
1290	13614	6443
1291	13632	6436
1292	13648	6428
1293	13656	6416
1294	13666	6405
1295	13674	6394
1296	13683	6382
1297	13692	6371
1298	13698	6358
1299	13707	6347
1300	13716	6336
1301	13723	6324
1302	13730	6312
1303	13737	6299
1304	13744	6287
1305	13750	6275
1306	13758	6263
1307	13766	6251
1308	13781	6243
1309	13796	6234
1310	13809	6225
1311	13830	6219
1312	13859	6217
1313	13874	6208
1314	13884	6197
1315	13902	6190
1316	13922	6184
1317	13938	6175
1318	13965	6172
1319	13984	6165
1320	14005	6159
1321	14023	6152
1322	14034	6142
1323	14036	6127
1324	14047	6117
1325	14063	6108
1326	14076	6099
1327	14088	6089
1328	14102	6080
1329	14115	6070
1330	14125	6059
1331	14134	6048
1332	14149	6039
1333	14158	6028
1334	14168	6017
1335	14174	6005
1336	14182	5993
1337	14188	5980
1338	14207	5973
1339	14214	5961
1340	14225	5951
1341	14239	5942
1342	14253	5932
1343	14265	5922
1344	14288	5917
1345	14302	5908
1346	14313	5897
1347	14328	5888
1348	14338	5877
1349	14345	5865
1350	14361	5857
1351	14376	5848
1352	14389	5838
1353	14399	5827
1354	14413	5818
1355	14427	5809
1356	14438	5798
1357	14456	5790
1358	14465	5779
1359	14473	5767
1360	14479	5755
1361	14487	5744
1362	14496	5732
1363	14502	5720
1364	14510	5708
1365	14515	5695
1366	14551	5694
1367	14566	5686
1368	14576	5675
1369	14587	5664
1370	14598	5653
1371	14616	5646
1372	14627	5635
1373	14635	5624
1374	14643	5612
1375	14649	5600
1376	14657	5588
1377	14666	5577
1378	14677	5566
1379	14684	5554
1380	14691	5542
